placename,alma_id,title,date,start_year,end_year,ie_id,image_id
Frankston,9917339093607636,"Panorama Of The Coast Line, Frankston, Vic.",[between 1920 and 1954?],1920,1954,IE899436,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE899436:FL21252601.jpg
Frankston,9917337003607636,"Panorama Of The Beach, Frankston, Vic.",[between 1920 and 1954?],1920,1954,IE871109,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE871109:FL21254213.jpg
Frankston,9917331653607636,"A View From Oliver's Hill Showing Pier, Frankston, Vic.",[between 1920 and 1954?],1920,1954,IE863939,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE863939:FL21241376.jpg
Frankston,9917324143607636,"The Pier, Frankston, Vic.",[between 1920 and 1954?],1920,1954,IE875200,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE875200:FL21253247.jpg
Frankston,9917257933607636,[Frankston Community Hospital] [picture],[ca. 1944],1944,1944,IE506442,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE506442:FL21190170.jpg
Frankston,9917151653607636,"Prince of Wales, Frankston, 1902 [picture]",1902.,1902,1902,IE501339,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE501339:FL20883440.jpg
Frankston,9916419013607636,"ST. PAUL'S C. OF E., FRANKSTON, VIC. [picture]",[c1920-1954],1954,1954,IE898581,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE898581:FL21256113.jpg
Frankston,9916419003607636,"THE CAFE & PIER, FRANKSTON, VIC. [picture]",[c1920-1954],1954,1954,IE893391,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE893391:FL21256035.jpg
Frankston,9916417733607636,"LOOKING TO THE BEACH, FRANKSTON, VIC. [picture]",[c1920-1954],1954,1954,IE883572,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE883572:FL21244783.jpg
Frankston,9916571033607636,"Prince of Wales Hotel, Frankston [picture] / C. Woodhouse, Lith.",[ca. 1890],1890,1890,IE1325458,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1325458:FL20897095.jpg
French Island,9916881043607636,"French Island, Western Port Bay [picture]","February 23, 1866.",1866,1866,IE841438,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE841438:FL21058713.jpg
Freshwater Creek,9939660157507636,"Bluestone church at Freshwater Creek, Vic.",1931,1931,1931,IE64438,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE64438:FL21312930.jpg
Freshwater Creek,9939659224007636,"Bluestone church at Freshwater Creek, Vic.",1931,1931,1931,IE1918900,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1918900:FL21096692.jpg
Fryerstown,9937146063607636,Boiler equipment at Fryerstown.,[between 1901 and 1910?],1901,1910,IE20329772,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20329772:FL20794674.jpg
