alma_id,title,date,publisher,format,genre,lds03,placename,place_id,feature_type_code,longitude,latitude,trove_note,trove_url,id
9913321083607636,Maribyrnong leader.,2007-2019,Newport Vic. : Times Publications Holdings,v. ; 41 cm.,Newspapers,Australia--Victoria--Maribyrnong | Australia--Victoria--Newport | Australia--Victoria--Footscray,Footscray,101188.0,LOCB,144.8994467,-37.7983813,,,a9913321083607636
9913133683607636,The Bacchus Marsh news.,2006-2007,Ballan Vic. : Ballan News Pty Ltd,v. ; 41 cm.,Newspapers,Australia--Victoria--Ballan | Australia--Victoria--Bacchus Marsh | Australia--Victoria--Moorabool,Ballan,100237.0,LOCB,144.219764,-37.6038129,,,a9913133683607636
9913133683607636,The Bacchus Marsh news.,2006-2007,Ballan Vic. : Ballan News Pty Ltd,v. ; 41 cm.,Newspapers,Australia--Victoria--Ballan | Australia--Victoria--Bacchus Marsh | Australia--Victoria--Moorabool,Bacchus Marsh,100222.0,LOCB,144.4491652,-37.6752111,,,a9913133683607636
9913133683607636,The Bacchus Marsh news.,2006-2007,Ballan Vic. : Ballan News Pty Ltd,v. ; 41 cm.,Newspapers,Australia--Victoria--Ballan | Australia--Victoria--Bacchus Marsh | Australia--Victoria--Moorabool,Moorabool,102129.0,LOCB,144.2771786,-38.0421963,,,a9913133683607636
9912943963607636,"Gippsland independent and express (Drouin, Vic. : 1946) | The Gippsland independent and express.",1946-1981,Drouin Vic. : Gippsland Independent and Express,v. ; 44-67 cm.,Newspapers,Australia--Victoria--Drouin | Australia--Victoria--Warragul | Australia--Victoria--Gippsland,Drouin,101014.0,LOCB,145.8442665,-38.1336082,,,a9912943963607636
9912943963607636,"Gippsland independent and express (Drouin, Vic. : 1946) | The Gippsland independent and express.",1946-1981,Drouin Vic. : Gippsland Independent and Express,v. ; 44-67 cm.,Newspapers,Australia--Victoria--Drouin | Australia--Victoria--Warragul | Australia--Victoria--Gippsland,Warragul,103234.0,LOCB,145.9271766,-38.1493146,,,a9912943963607636
9912943963607636,"Gippsland independent and express (Drouin, Vic. : 1946) | The Gippsland independent and express.",1946-1981,Drouin Vic. : Gippsland Independent and Express,v. ; 44-67 cm.,Newspapers,Australia--Victoria--Drouin | Australia--Victoria--Warragul | Australia--Victoria--Gippsland,Gippsland,,,,,,,a9912943963607636
9912932333607636,"Advertiser (Cheltenham, Vic.) | The advertiser.",1983-1988,Cheltenham Vic. : Standard Newspapers Ltd.,v. ; 40-41 cm.,Newspapers,Australia--Victoria--Cheltenham | Australia--Victoria--Sandringham | Australia--Victoria--Brighton,Cheltenham,100728.0,LOCB,145.0693543,-37.9634085,,,a9912932333607636
9912932333607636,"Advertiser (Cheltenham, Vic.) | The advertiser.",1983-1988,Cheltenham Vic. : Standard Newspapers Ltd.,v. ; 40-41 cm.,Newspapers,Australia--Victoria--Cheltenham | Australia--Victoria--Sandringham | Australia--Victoria--Brighton,Sandringham,102693.0,LOCB,145.012317,-37.9524793,,,a9912932333607636
9912932333607636,"Advertiser (Cheltenham, Vic.) | The advertiser.",1983-1988,Cheltenham Vic. : Standard Newspapers Ltd.,v. ; 40-41 cm.,Newspapers,Australia--Victoria--Cheltenham | Australia--Victoria--Sandringham | Australia--Victoria--Brighton,Brighton,100496.0,LOCB,144.994363,-37.9080176,,,a9912932333607636
9912932043607636,Sandringham & Brighton advertiser.,1971-1983,Cheltenham Vic. : Standard Newspapers,v. ; 40-43 cm.,Newspapers,Australia--Victoria--Cheltenham | Australia--Victoria--Sandringham | Australia--Victoria--Brighton,Cheltenham,100728.0,LOCB,145.0693543,-37.9634085,,,a9912932043607636
9912932043607636,Sandringham & Brighton advertiser.,1971-1983,Cheltenham Vic. : Standard Newspapers,v. ; 40-43 cm.,Newspapers,Australia--Victoria--Cheltenham | Australia--Victoria--Sandringham | Australia--Victoria--Brighton,Sandringham,102693.0,LOCB,145.012317,-37.9524793,,,a9912932043607636
9912932043607636,Sandringham & Brighton advertiser.,1971-1983,Cheltenham Vic. : Standard Newspapers,v. ; 40-43 cm.,Newspapers,Australia--Victoria--Cheltenham | Australia--Victoria--Sandringham | Australia--Victoria--Brighton,Brighton,100496.0,LOCB,144.994363,-37.9080176,,,a9912932043607636
9912929663607636,"Gippsland independent (Warragul, Vic. : 1922) | The Gippsland independent",1922-1932,"Warragul, Vic. : Pettit and Co.",v. ; 62-67 cm.,Newspapers,Australia--Victoria--Warragul | Australia--Victoria--Drouin | Australia--Victoria--Gippsland ,Warragul,103234.0,LOCB,145.9271766,-38.1493146,,,a9912929663607636
9912929663607636,"Gippsland independent (Warragul, Vic. : 1922) | The Gippsland independent",1922-1932,"Warragul, Vic. : Pettit and Co.",v. ; 62-67 cm.,Newspapers,Australia--Victoria--Warragul | Australia--Victoria--Drouin | Australia--Victoria--Gippsland ,Drouin,101014.0,LOCB,145.8442665,-38.1336082,,,a9912929663607636
9912929663607636,"Gippsland independent (Warragul, Vic. : 1922) | The Gippsland independent",1922-1932,"Warragul, Vic. : Pettit and Co.",v. ; 62-67 cm.,Newspapers,Australia--Victoria--Warragul | Australia--Victoria--Drouin | Australia--Victoria--Gippsland ,Gippsland,,,,,,,a9912929663607636
9912786363607636,"North west weekender (Tullamarine, Vic. : City of Brimbank ed.) | North west weekender.",2006-2006,"Tullamarine, Vic. : North West Media Group",v. ; 40 cm.,Newspapers,Australia--Victoria--Brimbank | Australia--Victoria--Tullamarine | Australia--Victoria--Sunshine,Brimbank,3458.0,NBHD,144.84376,-37.7351257,,,a9912786363607636
9912786363607636,"North west weekender (Tullamarine, Vic. : City of Brimbank ed.) | North west weekender.",2006-2006,"Tullamarine, Vic. : North West Media Group",v. ; 40 cm.,Newspapers,Australia--Victoria--Brimbank | Australia--Victoria--Tullamarine | Australia--Victoria--Sunshine,Tullamarine,103107.0,LOCB,144.871591,-37.7128112,,,a9912786363607636
9912786363607636,"North west weekender (Tullamarine, Vic. : City of Brimbank ed.) | North west weekender.",2006-2006,"Tullamarine, Vic. : North West Media Group",v. ; 40 cm.,Newspapers,Australia--Victoria--Brimbank | Australia--Victoria--Tullamarine | Australia--Victoria--Sunshine,Sunshine,102881.0,LOCB,144.8355849,-37.7887149,,,a9912786363607636
9912641113607636,Melbourne weekly Bayside.,200u-2012,Melbourne : Published for The Age Co. by Text Newspaper Co.,v. : ill. ; 31 cm.,Periodicals | Newspapers,Australia--Victoria--Bayside | Australia--Victoria--Melbourne | Australia--Victoria--Sandringham,Bayside City,1576.0,LGA,145.0162698,-37.9259646,,,a9912641113607636
9912641113607636,Melbourne weekly Bayside.,200u-2012,Melbourne : Published for The Age Co. by Text Newspaper Co.,v. : ill. ; 31 cm.,Periodicals | Newspapers,Australia--Victoria--Bayside | Australia--Victoria--Melbourne | Australia--Victoria--Sandringham,Melbourne,102000.0,LOCB,144.9739942,-37.8242884,,,a9912641113607636
9912641113607636,Melbourne weekly Bayside.,200u-2012,Melbourne : Published for The Age Co. by Text Newspaper Co.,v. : ill. ; 31 cm.,Periodicals | Newspapers,Australia--Victoria--Bayside | Australia--Victoria--Melbourne | Australia--Victoria--Sandringham,Sandringham,102693.0,LOCB,145.012317,-37.9524793,,,a9912641113607636
9912577633607636,"Kaniva times (Nhill, Vic. : 2005) | Kaniva times.",2005-2017,"Nhill, Vic. : Wimmera Messengers",v. ; 41 cm.,Newspapers,Australia--Victoria--Nhill | Australia--Victoria--Kaniva | Australia--Victoria--West Wimmera,Nhill,102345.0,LOCB,141.5812853,-36.306354,,,a9912577633607636
9912577633607636,"Kaniva times (Nhill, Vic. : 2005) | Kaniva times.",2005-2017,"Nhill, Vic. : Wimmera Messengers",v. ; 41 cm.,Newspapers,Australia--Victoria--Nhill | Australia--Victoria--Kaniva | Australia--Victoria--West Wimmera,Kaniva,101604.0,LOCB,141.2585929,-36.3793467,,,a9912577633607636
