mms,title,lds19,publisher,format,genre,lds03,trove_note,trove_url,
9910221003607636,Williamstown chronicle.,1856-1964,Williamstown Vic. : J.B. Stephens,v.,Newspapers,Australia--Victoria--Williamstown,,http://nla.gov.au/nla.news-title193,Y
9910214863607636,"Journal (Traralgon, Vic.) | The journal : Glengarry, Toongabbie and Cowwarr journal.",1923-1962,Traralgon Vic. : H. Chappell,v. : ill. ; 41 cm.,,Australia--Victoria--Traralgon,,http://nla.gov.au/nla.news-title1871,Y
9910200263607636,The Rutherglen sun.,1885-1885,"Rutherglen, Vic. : J.C. Hart",v. ; 62-76 cm.,Newspapers,Australia--Victoria--Rutherglen,,http://nla.gov.au/nla.news-title1727,Y
9910173743607636,"Weekly free press, and Port Phillip commercial advertiser.",1841-1841,"Port Phillip, Vic. : James Shanley",v. : ill.,Newspapers,Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title1496,Y
9910155743607636,"Port Phillip gazette (Melbourne, Vic. : 1851) | The Port Phillip gazette.",1851-1851,Melbourne : T. McCombie and W. Kerr,v.,Newspapers,Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title1139,Y
9910146793607636,"Free-lance (Melbourne, Vic.) | The free lance.",1896-18uu,Melbourne : W. Harrison,v,Newspapers,Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title873,Y
9910139123607636,"Chinese times (Melbourne, Vic.) | The Chinese times = Meilibin bu ai guo bao.",1902-1922,Melbourne Vic. : T.C. Luke,v. ; 38-60 cm.,Newspapers,Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title705,Y
9910135073607636,"The Nagambie herald and Avenel, Murchison and Goulburn Valley advertiser [microform]",18uu-18uu,"Nagambie, Vic. : T.W. Shervill",v. ; 56 cm.,,Australia--Victoria--Nagambie | Australia--Victoria--Avenel | Australia--Victoria--Murchison | Australia--Victoria--Goulburn Valley,,http://nla.gov.au/nla.news-title1767,Y
9910093273607636,Kyabram union [microform],1886-1894,"Kyabram, Vic. : H.S. Somer.",v. ; 62 cm.,,Australia--Victoria--Kyabram,,http://nla.gov.au/nla.news-title196,Y
9910067213607636,Benalla ensign (1938) | Benalla ensign [microform],1938-1965,"Benalla, Vic. : Benalla Ensign Pty. Ltd.",v. : ill. ; 43 cm.,,Australia--Victoria--Benalla,,http://nla.gov.au/nla.news-title216,Y
9910047333607636,The Maffra spectator.,1881-1981,Maffra Vic. : James Ryan.,v.,Newspapers,Australia--Victoria--Maffra,,http://nla.gov.au/nla.news-title209,Y
9910041563607636,"The Nagambie herald and Avenel, Murchison and Goulburn Valley advertiser.",1873-18uu,"Nagambie, Vic. : T.W. Shervill",v. ; 56 cm.,,Australia--Victoria--Nagambie | Australia--Victoria--Avenel | Australia--Victoria--Murchison | Australia--Victoria--Goulburn Valley,,http://nla.gov.au/nla.news-title1767,Y
9910041393607636,Kyabram union.,1886-1894,"Kyabram, Vic. : H.S. Somer.",v. ; 62 cm.,,Australia--Victoria--Kyabram,,http://nla.gov.au/nla.news-title196,Y
